City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,La Asuncion,VE,87.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
153,Koungheul,SN,88.61,broken clouds,13.9833,-14.8,hotel le PARADIS
154,Domoni,KM,76.42,broken clouds,-12.2569,44.5319,Al Djadid
155,Celestun,MX,86.22,overcast clouds,20.8667,-90.4,Posada Lilia
156,Tay Ninh,VN,76.1,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
157,Niteroi,BR,82.06,broken clouds,-22.8833,-43.1036,Hotel Viareggio
159,Hambantota,LK,79.0,scattered clouds,6.1241,81.1185,Bungalow 63
160,Saint George,US,75.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
161,Guerrero Negro,MX,73.54,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
162,Yulara,AU,69.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
163,Arona,ES,71.13,scattered clouds,28.0996,-16.681,Paradise Court
164,Lagoa,PT,70.79,clear sky,39.05,-27.9833,Casa Das Faias
165,Mbaiki,CF,69.84,overcast clouds,3.8678,17.9892,Motel MBM
166,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
169,Road Town,VG,87.89,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
170,Cururupu,BR,89.73,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
171,Touros,BR,84.34,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
176,Canavieiras,BR,82.94,few clouds,-15.675,-38.9472,Bahiadomizil
177,Ambilobe,MG,70.9,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
178,Marrakesh,MA,77.07,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
179,Itaituba,BR,77.16,broken clouds,-4.2761,-55.9836,Hotel Campos
180,Nantucket,US,66.34,clear sky,41.2835,-70.0995,Jared Coffin House
181,Lata,PT,68.92,overcast clouds,40.1629,-8.3327,Casa Maquia
182,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
187,Mansa,IN,71.17,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
189,Victoria,HK,75.33,scattered clouds,22.2855,114.1577,Mini Central
191,Sinnamary,GF,86.58,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
192,Namibe,AO,70.07,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
195,Lilongwe,MW,78.37,clear sky,-13.9669,33.7873,Spendwise furnished apartments.
197,Bayonet Point,US,88.14,few clouds,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
198,Bambanglipuro,ID,76.75,overcast clouds,-7.95,110.2833,Puri Brata
202,Mackay,AU,70.68,broken clouds,-21.15,149.2,International Lodge Motel
204,Katsuura,JP,73.15,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
208,Dingle,PH,75.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
210,Ribeira Grande,PT,76.77,few clouds,38.5167,-28.7,Quinta da Meia Eira
214,Zhanaozen,KZ,67.03,overcast clouds,43.3,52.8,K.korabay 28A
215,Isagarh,IN,75.02,light rain,24.8333,77.8833,ACC Cement
221,Sola,VU,78.67,few clouds,-13.8833,167.55,Leumerus Bungalows
224,Rabak,SD,80.91,broken clouds,13.1809,32.74,فندق ربك Rabak Hotel
225,Laguna,US,85.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
226,Champerico,GT,77.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
228,Santa Elena,EC,72.95,scattered clouds,-2.2333,-80.85,HOTEL CISNE II
232,Chalinze,TZ,75.69,overcast clouds,-6.6378,38.354,Dolphin Guesthouse
233,Fort-Shevchenko,KZ,65.14,light rain,44.5086,50.263,Oasis hotel Bautino
235,Kismayo,SO,77.32,overcast clouds,-0.3582,42.5454,Agan-Hotel
236,Bowen,AU,73.4,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
238,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
239,Trincomalee,LK,78.93,scattered clouds,8.5711,81.2335,Welcombe Hotel
241,Mayo,US,69.37,clear sky,38.8876,-76.5119,Resorts Resource Group International
242,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
245,Calolbon,PH,81.52,overcast clouds,13.596,124.0991,THREE STRAND INN (Travellers Inn)
246,Ponta Delgada,PT,75.92,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
247,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
248,Yashkul,RU,65.1,scattered clouds,46.1711,45.3435,"Gostinitsa ""Putnik"""
250,Carnarvon,AU,65.23,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
251,Kloulklubed,PW,84.63,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
253,Vao,NC,72.28,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
